video_url,title,collected_at
/watch?v=CwR2Brlj9k8&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,"New York City Subway, Complete Guide, Do's and Don'ts (Explained and Tips from a Local)",2026-01-18 04:06:45.640935
/watch?v=fgTKTs33NLY&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,How the NYC Subway Works,2026-01-18 04:06:45.641180
/watch?v=Q5pfKsBfzCI&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,The Greatest Subway System in the World? | New York City Subway,2026-01-18 04:06:45.641403
/watch?v=VGy65I_9pDw&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Can $68BN Save New York’s Subway?,2026-01-18 04:06:45.641665
/watch?v=lutQ6koALFw&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,🇺🇸 New York City Subway | All the Lines,2026-01-18 04:06:45.641901
/watch?v=jRjcoBgRWfI&pp=ygUPc3Vid2F5IE5ldyBZb3Jr0gcJCU8KAYcqIYzv,HOW to use the NYC Subway (Everything YOU NEED to know)!,2026-01-18 04:06:45.642059
/watch?v=0UZ9QXPfNwE&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,[4K] 🇺🇸 New York City Subway | All the Lines (V2),2026-01-18 04:06:45.642205
/watch?v=5m6w1Pq0Pyw&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Architect Breaks Down NYC Subway Stations (Oldest & Newest) | Architectural Digest,2026-01-18 04:06:45.642348
/shorts/AcmcXLihbTQ,New York ain't normal 😳,2026-01-18 04:06:45.642491
/watch?v=9fL5etTRZzU&pp=ygUPc3Vid2F5IE5ldyBZb3Jr0gcJCU8KAYcqIYzv,How to Ride the New York City Subway (Guide to the NYC Subway),2026-01-18 04:06:45.642661
/watch?v=5dEhAd0yM70&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,The Battle for New York's Subway,2026-01-18 04:06:45.642806
/watch?v=ukOHqdPbYYg&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,⁴ᴷ⁶⁰ NYC Subway Front Window View - The 7 Express to Manhattan!,2026-01-18 04:06:45.642966
/watch?v=pphgq49lslI&pp=ygUPc3Vid2F5IE5ldyBZb3Jr0gcJCU8KAYcqIYzv,⁴ᴷ⁶⁰ NYC Subway Front Window View - The A Line to 207th Street,2026-01-18 04:06:45.643109
/watch?v=voc1qIS3pFU&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Why Queens still has a Subway Problem,2026-01-18 04:06:45.643254
/shorts/KqIqhDLKdDw,Welcome to the New York Subway #shorts #newyork,2026-01-18 04:06:45.643398
/shorts/WlU_VE78gfA,"To truly love New York, you must hate New York!! #nyc #subwaytakes",2026-01-18 04:06:45.643566
/shorts/05vLI6KrYAk,It’s the NYC Subway 😳,2026-01-18 04:06:45.643713
/watch?v=Qzdy50tfqmE&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,NYC Subway Survival Guide (Watch Before You Go!),2026-01-18 04:06:45.643869
/watch?v=qAF971SUZEM&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Navigating the NYC Subway,2026-01-18 04:06:45.644013
/watch?v=F-V1oTJEGQ0&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,"MTA New York City Subway A, C, E, L, Q, W Trains In Manhattan (1/4/21)",2026-01-18 04:06:45.644155
/shorts/lzUVIbh25lM,NYC Chivalry Ruined #shorts,2026-01-18 04:06:45.644299
/shorts/op8_A-t7aOc,Subway People Aren't Real,2026-01-18 04:06:45.644437
/watch?v=lfCzZconie8&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,The hidden subway that New York refuses to build,2026-01-18 04:06:45.644616
/shorts/33KEM41hanQ,NYC’s subway is THE BEST in the world 😂😂 #newyorkcity,2026-01-18 04:06:45.644755
/watch?v=qj0MzKULyMo&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,The World’s Worst Metro (NYC Subway),2026-01-18 04:06:45.644923
/shorts/Tq2TlEwQkxM,How to See an Abandoned NYC Subway Station,2026-01-18 04:06:45.645071
/watch?v=Hj_wI3_7w_g&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,NEW YORK SUBWAY EXPLAINED | NYC Guide from a LOCAL,2026-01-18 04:06:45.645217
/watch?v=luvAouodeTY&pp=ygUPc3Vid2F5IE5ldyBZb3Jr0gcJCU8KAYcqIYzv,Ride the NYC Subway like a pro (tips from a local),2026-01-18 04:06:45.645360
/watch?v=Db2DBYCegK0&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Inside New York's BEST Subway Stations!,2026-01-18 04:06:45.645503
/watch?v=DBVDQY8Gygc&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,How the NYC Subway Has Been Running for Over 120 Years | The Extra Mile,2026-01-18 04:06:45.645674
